,Unnamed: 0,COUNTRYR,COUNTRYR.1,GENDERF,Q1_Consider_Living_CC,Q1_Mean_Country,Q2_Do_You_Change_Your_Behaviour,Q2_Mean_Country,Q3_How_Fight_CC,Q3_Max
0,0,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
1,1,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
2,2,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
3,3,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,2.0,0.56
4,4,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
5,5,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
6,6,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,2.0,0.56
7,7,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
8,8,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
9,9,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,1.0,0.56
10,10,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,3.0,0.56
11,11,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
12,12,Afrique du Sud,ZAF,2,2,1.336327,3.0,2.0291900000000003,1.0,0.56
13,13,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,2.0,0.56
14,14,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
15,15,Afrique du Sud,ZAF,1,1,1.336327,5.0,2.0291900000000003,4.0,0.56
16,16,Afrique du Sud,ZAF,1,3,1.336327,3.0,2.0291900000000003,2.0,0.56
17,17,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
18,18,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,3.0,0.56
19,19,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
20,20,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,4.0,0.56
21,21,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
22,22,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
23,23,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,1.0,0.56
24,24,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
25,25,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
26,26,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
27,27,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
28,28,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,1.0,0.56
29,29,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
30,30,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
31,32,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
32,33,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
33,34,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
34,35,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,1.0,0.56
35,36,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
36,37,Afrique du Sud,ZAF,1,1,1.336327,4.0,2.0291900000000003,4.0,0.56
37,38,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
38,39,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,3.0,0.56
39,40,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
40,41,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,1.0,0.56
41,42,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,2.0,0.56
42,43,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
43,44,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
44,45,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
45,46,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,3.0,0.56
46,47,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
47,48,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
48,49,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
49,50,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
50,51,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,1.0,0.56
51,52,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
52,53,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,1.0,0.56
53,54,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,2.0,0.56
54,55,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
55,56,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
56,57,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,2.0,0.56
57,58,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
58,59,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
59,60,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
60,61,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,1.0,0.56
61,62,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
62,63,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
63,64,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,1.0,0.56
64,65,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
65,66,Afrique du Sud,ZAF,2,2,1.336327,3.0,2.0291900000000003,2.0,0.56
66,67,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
67,68,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
68,69,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,1.0,0.56
69,70,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,1.0,0.56
70,71,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,1.0,0.56
71,72,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
72,73,Afrique du Sud,ZAF,1,1,1.336327,4.0,2.0291900000000003,1.0,0.56
73,74,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
74,75,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
75,76,Afrique du Sud,ZAF,1,5,1.336327,4.0,2.0291900000000003,2.0,0.56
76,77,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
77,78,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
78,79,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
79,80,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,2.0,0.56
80,81,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
81,82,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,1.0,0.56
82,83,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
83,84,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
84,85,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,1.0,0.56
85,86,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
86,87,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
87,88,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,1.0,0.56
88,89,Afrique du Sud,ZAF,2,3,1.336327,3.0,2.0291900000000003,1.0,0.56
89,90,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
90,91,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,2.0,0.56
91,92,Afrique du Sud,ZAF,2,3,1.336327,2.0,2.0291900000000003,2.0,0.56
92,93,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
93,94,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,2.0,0.56
94,95,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,1.0,0.56
95,96,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,2.0,0.56
96,97,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
97,98,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
98,99,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,2.0,0.56
99,100,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
100,101,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,2.0,0.56
101,102,Afrique du Sud,ZAF,2,3,1.336327,1.0,2.0291900000000003,1.0,0.56
102,103,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,2.0,0.56
103,104,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,4.0,0.56
104,105,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,2.0,0.56
105,106,Afrique du Sud,ZAF,1,2,1.336327,1.0,2.0291900000000003,2.0,0.56
106,107,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
107,108,Afrique du Sud,ZAF,1,1,1.336327,3.0,2.0291900000000003,1.0,0.56
108,109,Afrique du Sud,ZAF,1,2,1.336327,2.0,2.0291900000000003,1.0,0.56
109,110,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
110,111,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,1.0,0.56
111,112,Afrique du Sud,ZAF,1,2,1.336327,3.0,2.0291900000000003,2.0,0.56
112,113,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
113,114,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
114,115,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
115,116,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
116,117,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
117,118,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
118,119,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
119,120,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
120,121,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
121,122,Afrique du Sud,ZAF,2,2,1.336327,3.0,2.0291900000000003,1.0,0.56
122,123,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
123,124,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
124,125,Afrique du Sud,ZAF,1,3,1.336327,2.0,2.0291900000000003,1.0,0.56
125,126,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
126,127,Afrique du Sud,ZAF,2,2,1.336327,2.0,2.0291900000000003,1.0,0.56
127,128,Afrique du Sud,ZAF,2,2,1.336327,3.0,2.0291900000000003,2.0,0.56
128,129,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
129,130,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,2.0,0.56
130,131,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,1.0,0.56
131,132,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
132,133,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
133,134,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
134,135,Afrique du Sud,ZAF,1,1,1.336327,2.0,2.0291900000000003,1.0,0.56
135,136,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
136,137,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,3.0,0.56
137,138,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
138,139,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
139,140,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,1.0,0.56
140,141,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,1.0,0.56
141,142,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,1.0,0.56
142,143,Afrique du Sud,ZAF,1,5,1.336327,1.0,2.0291900000000003,2.0,0.56
143,144,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,3.0,0.56
144,145,Afrique du Sud,ZAF,2,1,1.336327,2.0,2.0291900000000003,2.0,0.56
145,146,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,4.0,0.56
146,147,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,2.0,0.56
147,148,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,1.0,0.56
148,149,Afrique du Sud,ZAF,1,1,1.336327,1.0,2.0291900000000003,2.0,0.56
149,150,Afrique du Sud,ZAF,2,2,1.336327,1.0,2.0291900000000003,1.0,0.56
150,151,Afrique du Sud,ZAF,2,1,1.336327,4.0,2.0291900000000003,3.0,0.56
151,152,Afrique du Sud,ZAF,2,1,1.336327,3.0,2.0291900000000003,2.0,0.56
152,153,Afrique du Sud,ZAF,2,3,1.336327,2.0,2.0291900000000003,2.0,0.56
153,154,Afrique du Sud,ZAF,2,3,1.336327,1.0,2.0291900000000003,1.0,0.56
154,155,Afrique du Sud,ZAF,2,1,1.336327,1.0,2.0291900000000003,1.0,0.56
