"","Entity","Year","CO2_emissions","Population.Population","renewable_energy.Renewables","Nuclear..TWh.growth...sub.method.","gdp_per_capita.GDP_per_capita"
"1","Africa",1993,1041.75904141891,681868992,6.017,1.64547737639315,2902
"2","Africa",1994,1031.04222007373,699444992,5.928,124.993389044095,2870
"3","Africa",1995,1078.02014585293,717270016,5.929,169.945762796252,2869
"4","Africa",1996,1066.00840782655,735361024,6.039,115.978406818581,2934
"5","Africa",1997,1079.87401099381,753737984,6.08,83.9880719080226,2913
"6","Africa",1998,1085.0467995655,772436992,6.274,74.7323090399068,2875
"7","Africa",1999,1049.12208494642,791504000,6.448,127.526834987568,2858
"8","Africa",2000,1099.12173559501,810984000,6.761,109.585392560149,2889
"9","Africa",2001,1065.33230801633,830902976,6.957,160.409823830021,2919
"10","Africa",2002,1046.04477787122,851297984,7.188,59.2600956987583,2980
"11","Africa",2003,1108.14545078532,872248000,6.673,176.750190312847,3045
"12","Africa",2004,1156.12061306165,893843008,6.556,297.028670162177,3140
"13","Africa",2005,1147.94280637643,916153984,6.591,25.2304747931981,3320
"14","Africa",2006,1162.30583479352,939209984,6.714,77.6407845340792,3494
"15","Africa",2007,1178.19228855385,963022016,6.619,151.174113967505,3790
"16","Africa",2008,1199.95655694943,987624000,6.325,266.233910881064,4016
"17","Africa",2009,1181.05833148814,1013046016,6.371,80.2628890650511,3998
"18","Africa",2010,1174.33799448058,1039304000,6.643,156.910778751934,4340
"19","Africa",2011,1173.02486143908,1066409984,6.789,19.8554030041789,4487
"20","Africa",2012,1152.26354921277,1094343040,6.586,144.067257009283,4614
"21","Africa",2013,1137.33318415066,1123044992,6.804,128.892431764657,4577
"22","Africa",2014,1184.70798167033,1152434048,7.075,143.904981189865,4638
"23","Africa",2015,1124.99390564733,1182439040,7.1,61.1515668494843,4684
"24","Africa",2016,1116.99512972491,1213041024,6.869,112.904672876092,4680
"25","Algeria",1993,2965.06152856258,27636000,0.329,-789.947894051238,7171
"26","Algeria",1994,3053.33110882555,28214000,0.153,121.96072871624,6966
"27","Algeria",1995,3302.80134355194,28758000,0.171,392.725502468878,7079
"28","Algeria",1996,3307.11815676089,29266000,0.121,-115.184856147065,7215
"29","Algeria",1997,2925.20409877769,29743000,0.07,-410.920216521534,6897
"30","Algeria",1998,3531.30958035931,30193000,0.194,359.454178120756,7114
"31","Algeria",1999,2993.43380610992,30623000,0.181,99.7616170851974,7359
"32","Algeria",2000,2816.91523627569,31042000,0.05,-382.578442110689,8255
"33","Algeria",2001,2663.76299191706,31452000,0.061,346.687015134173,8153
"34","Algeria",2002,2806.67779714284,31855000,0.049,348.642285355517,8462
