Type,Year,Value,Chart
Geophysical events,1980,29.196,EU-28
Geophysical events,1981,2.118,EU-28
Geophysical events,1982,0.103,EU-28
Geophysical events,1983,0.39,EU-28
Geophysical events,1984,0.026,EU-28
Geophysical events,1985,0.145,EU-28
Geophysical events,1986,2.365,EU-28
Geophysical events,1987,0.005,EU-28
Geophysical events,1988,0.093,EU-28
Geophysical events,1989,0.009,EU-28
Geophysical events,1990,0.781,EU-28
Geophysical events,1991,0.153,EU-28
Geophysical events,1992,0.195,EU-28
Geophysical events,1993,0.017,EU-28
Geophysical events,1994,0.001,EU-28
Geophysical events,1995,1.198,EU-28
Geophysical events,1996,0.125,EU-28
Geophysical events,1997,7.725,EU-28
Geophysical events,1998,0.121,EU-28
Geophysical events,1999,4.901,EU-28
Geophysical events,2000,0.001,EU-28
Geophysical events,2001,0.007,EU-28
Geophysical events,2002,0.711,EU-28
Geophysical events,2003,0.119,EU-28
Geophysical events,2004,0.247,EU-28
Geophysical events,2005,0.0,EU-28
Geophysical events,2006,0.002,EU-28
Geophysical events,2007,0.042,EU-28
Geophysical events,2008,0.035,EU-28
Geophysical events,2009,9.781,EU-28
Geophysical events,2010,0.001,EU-28
Geophysical events,2011,1.01,EU-28
Geophysical events,2012,13.521,EU-28
Geophysical events,2013,0.006,EU-28
Geophysical events,2014,0.148,EU-28
Geophysical events,2015,0.021,EU-28
Geophysical events,2016,10.495,EU-28
Geophysical events,2017,0.128,EU-28
Meteorological events,1980,0.158,EU-28
Meteorological events,1981,1.943,EU-28
Meteorological events,1982,2.482,EU-28
Meteorological events,1983,0.713,EU-28
Meteorological events,1984,4.367,EU-28
Meteorological events,1985,0.594,EU-28
Meteorological events,1986,2.107,EU-28
Meteorological events,1987,8.661,EU-28
Meteorological events,1988,0.6,EU-28
Meteorological events,1989,0.584,EU-28
Meteorological events,1990,20.708,EU-28
Meteorological events,1991,1.212,EU-28
Meteorological events,1992,1.558,EU-28
Meteorological events,1993,3.074,EU-28
Meteorological events,1994,1.195,EU-28
Meteorological events,1995,1.402,EU-28
Meteorological events,1996,2.278,EU-28
Meteorological events,1997,1.455,EU-28
Meteorological events,1998,2.503,EU-28
Meteorological events,1999,23.139,EU-28
Meteorological events,2000,1.724,EU-28
Meteorological events,2001,2.11,EU-28
Meteorological events,2002,5.427,EU-28
Meteorological events,2003,2.278,EU-28
Meteorological events,2004,3.042,EU-28
Meteorological events,2005,6.771,EU-28
Meteorological events,2006,2.247,EU-28
Meteorological events,2007,9.308,EU-28
Meteorological events,2008,4.547,EU-28
Meteorological events,2009,6.164,EU-28
Meteorological events,2010,6.026,EU-28
Meteorological events,2011,3.531,EU-28
Meteorological events,2012,0.6,EU-28
Meteorological events,2013,11.111,EU-28
Meteorological events,2014,5.485,EU-28
Meteorological events,2015,4.808,EU-28
Meteorological events,2016,2.973,EU-28
Meteorological events,2017,4.433,EU-28
Hydrological event,1980,0.086,EU-28
Hydrological event,1981,0.35,EU-28
Hydrological event,1982,4.836,EU-28
Hydrological event,1983,6.229,EU-28
Hydrological event,1984,0.347,EU-28
Hydrological event,1985,0.574,EU-28
Hydrological event,1986,0.03,EU-28
Hydrological event,1987,5.413,EU-28
Hydrological event,1988,0.905,EU-28
Hydrological event,1989,0.661,EU-28
Hydrological event,1990,1.687,EU-28
Hydrological event,1991,0.701,EU-28
Hydrological event,1992,1.575,EU-28
Hydrological event,1993,3.429,EU-28
Hydrological event,1994,13.984,EU-28
Hydrological event,1995,3.134,EU-28
Hydrological event,1996,1.692,EU-28
Hydrological event,1997,10.411,EU-28
Hydrological event,1998,1.75,EU-28
