Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
Telstra,-37.48358000,144.58112400,"$25,259,000,000",2020,"In Policy Document",Yes,No,Yes,No,https://exchange.telstra.com.au/acting-on-climate-change/,PR,No,No,
Starbucks,47.58046300,-122.33589700,"$26,502,000,000",2050,"In Policy Document",Yes,No,"Unclear or Undecided",No,https://news.microsoft.com/2020/07/20/nine-leading-businesses-launch-new-initiative-to-accelerate-progress-to-a-net-zero-future/,PR,No,No,
Nike,45.48890000,-122.80140000,"$39,100,000,000",2050,"In Policy Document",Yes,No,"Unclear or Undecided",No,https://news.microsoft.com/2020/07/20/nine-leading-businesses-launch-new-initiative-to-accelerate-progress-to-a-net-zero-future/,PR,No,No,
Wipro,12.97160000,77.59460000,"$8,094,000,000",2050,"In Policy Document",Yes,No,"Unclear or Undecided",No,https://news.microsoft.com/2020/07/20/nine-leading-businesses-launch-new-initiative-to-accelerate-progress-to-a-net-zero-future/,PR,No,No,
Dow,43.61560000,-84.24720000,"$62,500,000,000",2050,"In Policy Document","Unclear or Undecided",No,"Unclear or Undecided",No,https://investors.dow.com/en/news/news-details/2020/Dow-sets-targets-to-reduce-GHG-emissions-stop-plastic-waste-and-drive-toward-a-circular-economy/default.aspx,PR,No,No,
Walmart,36.37290000,-94.20880000,"$514,405,000,000",2040,"In Policy Document",Yes,Yes,Yes,No,https://corporate.walmart.com/media-library/document/walmart-sets-goal-to-become-a-regenerative-company/_proxyDocument?id=00000174-ae08-dcf3-a7fc-afdcca070000,PR,No,No,
PetroChina,39.92840000,116.41640000,"$364,182,000,000",2050,"In Policy Document","Unclear or Undecided",No,No,No,https://www.woodmac.com/news/opinion/is-petrochina-really-going-green/,PR,No,No,
Williams,36.15270000,-95.99640000,"$8,200,000,000",2050,"In Policy Document",No,No,Yes,No,https://www.williams.com/sustainability/climate-commitment/,PR,No,No,
Uber,37.78853000,-122.39514400,"$14,150,000,000",2040,"In Policy Document",Yes,No,Yes,No,https://www.uber.com/newsroom/driving-a-green-recovery/,PR,No,No,
SAS,35.79150000,-78.78110000,"$3,100,000,000",2050,"In Policy Document",No,No,No,"Unclear or Undecided",https://www.sas.com/en_au/news/press-releases/2020/august/2019-csr-report.html,PR,No,No,
Ford,42.32230000,-83.17630000,"$155,900,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://corporate.ford.com/microsites/sustainability-report-2020/assets/files/sr20-summary.pdf,PR,No,Yes,SBTi
Apple,37.21000000,-121.10317100,"$267,700,000,000",2030,"In Policy Document",No,No,No,Yes,https://www.apple.com/newsroom/2020/07/apple-commits-to-be-100-percent-carbon-neutral-for-its-supply-chain-and-products-by-2030/,PR,No,Yes,CDP
"European Metal Recycling",53.39000000,-2.59700000,"$4,310,000,000",2040,"In Policy Document",Yes,No,Yes,Yes,http://uk.emrgroup.com/corporate-news/1194/emr-unveils-strategy-to-achieve-net-zero-carbon-emissions-by-2040.php,PR,No,No,"RE100, EV100, EP100"
