Title,Abbreviation,GDP,"CO2 Emissions (Mt)","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes International Shipping and Aviation","Includes Interim Targets","Source (URL)","Source (Text)","Climate Ambition Alliance",Population,EU,"Published Net Zero Plan"
US,USA,"$20,529,000,000,000",5416.28,2050,"Target Under Discussion",Yes,"Unclear or Undecided","Unclear or Undecided",Yes,https://joebiden.com/climate-plan/,"THE BIDEN PLAN FOR A CLEAN ENERGY REVOLUTION AND ENVIRONMENTAL JUSTICE",No,"328,200,000",No,Yes
China,CHN,"$13,895,000,000,000",10064.69,2060,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://news.un.org/en/story/2020/09/1073052,"Xi Jinping's UN General Assembly address",No,"1,393,000,000",No,No
Japan,JPN,"$4,971,000,000,000",1161.98,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://www.japantimes.co.jp/news/2020/10/26/national/yoshihide-suga-carbon-pledge-japan/,"Speeches and Statements by the Prime Minister",No,"126,500,000",No,No
"South Africa",ZAF,"$368,300,000,000",468.00,2050,"In Policy Document",No,"Unclear or Undecided",No,Yes,https://www.environment.gov.za/sites/default/files/docs/2020lowemission_developmentstrategy.pdf,"SOUTH AFRICA’S LOW EMISSION DEVELOPMENT STRATEGY 2050",No,"57,780,000",No,Yes
Laos,LAO,"$18,000,000,000",19.32,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"7,275,560",No,No
"South Korea",KOR,"$1,619,000,000,000",659.00,2050,"Proposed Legislation","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.korea.net/Government/Briefing-Room/Presidential-Speeches/view?articleId=191510,,No,"51,300,000",No,No
Mauritania,MRT,"$5,200,000,000",2.66,2050,"Target Under Discussion",Yes,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"4,420,000",No,No
Rwanda,RWA,"$9,500,000,000",1.12,2050,"Target Under Discussion",No,"Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"12,210,000",No,No
Zambia,ZMB,"$26,700,000,000",5.23,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",Yes,https://climateaction.unfccc.int/views/country.html?id=195,"Climate Ambition Alliance: Net Zero 2050",Yes,"18,383,955",No,No
Yemen,YEM,"$27,000,000,000",10.14,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"29,825,964",No,No
Uganda,UGA,"$27,500,000,000",5.77,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"45,741,007",No,No
Tanzania,TZA,"$58,000,000,000",12.50,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"59,734,218",No,No
Togo,TGO,"$5,400,000,000",3.42,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"8,278,724",No,No
Sudan,SDN,"$40,900,000,000",21.05,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"43,849,260",No,No
Somalia,SOM,"$4,700,000,000",0.70,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"15,893,222",No,No
Slovenia,SVN,"$54,000,000,000",14.43,2050,"In Policy Document",Yes,"Unclear or Undecided","Unclear or Undecided",Yes,https://www.gov.si/en/news/2020-02-27-the-government-adopts-the-integrated-national-energy-and-climate-plan-of-the-republic-of-slovenia/,"Integrated National Energy and Climate Plan",Yes,"2,078,938",Yes,Yes
Slovakia,SVK,"$105,900,000,000",36.03,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"5,459,642",Yes,No
"Sierra Leone",SLE,"$4,100,000,000",1.08,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"7,976,983",No,No
Senegal,SEN,"$24,100,000,000",11.71,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"16,743,927",No,No
"Sao Tome and Principe",STP,"$400,000,000",0.12,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"219,159",No,No
Romania,ROU,"$239,600,000,000",74.06,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"19,237,691",Yes,No
Peru,PER,"$222,000,000,000",55.53,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"32,971,854",No,No
Pakistan,PAK,"$314,600,000,000",223.54,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"220,892,340",No,No
Niger,NER,"$9,300,000,000",2.32,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"24,206,644",No,No
Nepal,NPL,"$29,000,000,000",9.45,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"29,136,808",No,No
Myanmar,MMR,"$71,200,000,000",26.33,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"54,409,800",No,No
Mozambique,MOZ,"$14,700,000,000",8.29,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"31,255,435",No,No
Mali,MLI,"$17,200,000,000",3.56,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"20,250,833",No,No
Malta,MLT,"$14,600,000,000",1.58,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"441,543",Yes,No
Malawi,MWI,"$7,100,000,000",1.38,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"19,129,952",No,No
Lithuania,LTU,"$53,400,000,000",13.55,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided",No,Yes,https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"National Climate Change Policy Strategy",Yes,"2,722,289",Yes,No
Madagascar,MDG,"$13,900,000,000",4.28,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"27,691,018",No,No
Liberia,LBR,"$3,300,000,000",1.56,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"5,057,681",No,No
Lesotho,LSO,"$2,700,000,000",2.66,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"National Climate Change Policy",Yes,"2,142,249",No,No
Latvia,LVA,"$34,400,000,000",7.19,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",Yes,https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"1,886,198",Yes,Yes
Hungary,HUN,"$157,900,000,000",49.86,2050,"In Law","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",Yes,https://www.parlament.hu/irom41/07021/07021-0010.pdf,"Climate Ambition Alliance: Net Zero 2050",Yes,"9,660,351",Yes,No
Haiti,HTI,"$9,700,000,000",3.00,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"11,402,528",No,No
Guinea-Bissau,GNB,"$1,500,000,000",0.34,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"1,968,001",No,No
Guinea,GIN,"$10,900,000,000",3.18,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"13,132,795",No,No
Greece,GRC,"$218,000,000,000",73.89,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"10,423,054",Yes,No
Gambia,GMB,"$1,600,000,000",0.61,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"2,416,668",No,No
Eritrea,ERI,"$2,600,000,000",0.74,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"3,546,421",No,No
Ecuador,ECU,"$108,400,000,000",41.92,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"17,643,054",No,No
Djibouti,DJI,"$3,000,000,000",0.64,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"988,000",No,No
"Democratic Republic of Congo",COD,"$47,200,000,000",2.04,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"89,561,403",No,No
Czechia,CZE,"$245,200,000,000",105.95,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"Climate Ambition Alliance: Net Zero 2050",Yes,"10,708,981",Yes,No
Cyprus,CYP,"$25,000,000,000",7.49,2050,"Target Under Discussion","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://climateaction.unfccc.int/views/cooperative-initiative-details.html?id=94,"National Energy and Climate Plan",Yes,"1,207,359",Yes,No
