Title,GDP,"CO2 Emissions (Mt)","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Source (URL)","Source (Text)","Climate Ambition Alliance","Parent Country",Population,"Published Net Zero Plan"
Maine,,,2045,"In Law","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf,"Executive Order 10 FY 19/20",No,,,No
Montana,,,2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,http://deq.mt.gov/Portals/112/DEQAdmin/Climate/2020-09-09_MontanaClimateSolutions_Final.pdf,"Recommendations of the Montana Climate Solutions Council",No,,,No
Michigan,,,2050,"In Law",Yes,"Unclear or Undecided","Unclear or Undecided","https://www.michigan.gov/whitmer/0,9309,7-387-90499-540289--,00.html","Executive Directive 2020-10",No,,,No
Louisiana,"$255,492",226.42,2050,"In Law",Yes,"Unclear or Undecided",Yes,https://gov.louisiana.gov/assets/ExecutiveOrders/2020/JBE-2020-18-Climate-Initiatives-Task-Force.pdf,"Executive Order JBE 2020-18",No,,"4,645,180",No
"Northern Territory","$18,211,000,000",16,2050,"In Policy Document",Yes,No,Yes,http://newsroom.nt.gov.au/mediaRelease/33528,"Northern Territory Climate Change Response: Towards 2050",No,,"211,945",No
"Australian Capital Territory (ACT)","$26,033,180,000",1.07,2045,"In Policy Document",Yes,Yes,Yes,https://www.environment.act.gov.au/__data/assets/pdf_file/0003/1414641/ACT-Climate-Change-Strategy-2019-2025.pdf/_recache,"ACT Climate Change Strategy",Yes,,"428,060",Yes
Hokkaido,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"5,400,000",No
Iwate,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"1,280,000",No
Miyagi,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"2,330,000",No
Kanagawa,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"9,130,000",No
Yamanashi,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"830,000",No
Mie,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"1,820,000",No
Tokushima,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"760,000",No
Ehime,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"1,390,000",No
Kumamoto,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"1,790,000",No
Tottori,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"570,000",No
Shiga,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"1,410,000",No
Toyama,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"1,070,000",No
Nagano,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",Yes,Japan,"2,100,000",No
Gunma,,,2050,"In Policy Document","Unclear or Undecided","Unclear or Undecided","Unclear or Undecided",http://www.env.go.jp/en/earth/cc/2050_zero_carbon_cities_in_japan.html,"2050 Zero Carbon Cities in Japan",No,Japan,"1,970,000",No
Massachusetts,"$575,635,000,000",63.70,2050,"Proposed Legislation",Yes,"Unclear or Undecided",Yes,https://malegislature.gov/Bills/191/H4912,"Massachusetts introduces legislation to achieve net-zero by 2050",No,,"6,902,000",Yes
"Washington State","$576,624,000,000",78.73,2050,"In Law",Yes,"Unclear or Undecided",Yes,http://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/Session%20Laws/House/2311-S2.SL.pdf#page=1,"HB 2311",No,,"7,615,000",No
Nevada,"$168,752,000,000",36.40,2050,"In Law",Yes,"Unclear or Undecided",Yes,https://trackbill.com/bill/nevada-senate-bill-254-an-act-relating-to-greenhouse-gas-emissions-requiring-the-state-department-of-conservation-and-natural-resources-to-issue-an-annual-report-concerning-greenhouse-gas-emissions-in-this-state-and-providing-other-matters-properly-relating-thereto/1719120/,"Senate Bill 254",Yes,,"3,080,000",No
"Western Australia","$328,946,890,000",83.71,2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,https://www.mediastatements.wa.gov.au/Pages/McGowan/2019/08/State-Government-details-emissions-policy-for-major-projects.aspx,"Emissions Policy for Major Projects",No,,"2,630,557",No
"New York State","$1,701,399,000,000",157.73,2050,"In Law",Yes,Yes,Yes,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A08429&term=2019&Summary=Y&Actions=Y&Text=Y,"US Climate Alliance - New York State",Yes,,"19,450,000",No
Victoria,"$572,607,643,300",89.05,2050,"In Law",Yes,"Unclear or Undecided",Yes,https://content.legislation.vic.gov.au/sites/default/files/2020-05/17-5aa005%20authorised.pdf,"Victorian Government Emissions Reductions Targets",Yes,,"6,629,870",Yes
Queensland,"$689,862,000,000",103.79,2050,"In Policy Document",Yes,No,Yes,https://www.qld.gov.au/__data/assets/pdf_file/0026/67283/qld-climate-transition-strategy.pdf,"Pathways to a clean growth economy",Yes,,"5,115,451",Yes
Tasmania,"$40,030,920,000",5.15,2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,http://www.dpac.tas.gov.au/divisions/climatechange/tasmanias_climate_change_action_plan_20172021,"Tasmania's Climate Change Action Plan",No,,"535,500",No
Catalonia,"$243,639,200,000",45,2050,"In Law",Yes,"Unclear or Undecided",Yes,http://www.catalannews.com/politics/item/catalan-parliament-passes-climate-change-law,"Catalonia Climate Change Law",Yes,Spain,"7,506,000",Yes
"South Australia","$140,500,680,000",20.14,2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,https://reneweconomy.com.au/south-australia-to-accelerate-transition-emissions-cuts-after-bushfires-70921/,"South Australia to accelerate emissions cuts",No,,"1,756,494",No
Hawaii,"$93,419,000,000",17.73,2045,"In Law",Yes,"Unclear or Undecided",Yes,https://www.capitol.hawaii.gov/session2018/bills/HB2182_CD1_.htm,"HB 2182",Yes,,"1,416,000",Yes
California,"$3,018,337,000,000",424.00,2045,"In Law",Yes,"Unclear or Undecided",Yes,https://www.ca.gov/archive/gov39/wp-content/uploads/2018/09/9.10.18-Executive-Order.pdf,"California Executive Order B-55-18",Yes,,"39,510,000",Yes
"New South Wales","$784,920,000,000",105.81,2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,https://www.environment.nsw.gov.au/-/media/OEH/Corporate-Site/Documents/Climate-change/nsw-climate-change-policy-framework-160618.pdf,"New South Wales Climate Policy",No,,"8,117,976",Yes
Scotland,"$228,000,000,000",29.60,2045,"Proposed Legislation",Yes,Yes,Yes,https://www.gov.scot/policies/climate-change/,"Climate Change Action",Yes,"United Kingdom","5,454,000",Yes
