Country;Year;Value
Algeria;1999;2,3
Algeria;2000;3,3
Algeria;2001;3,8
Algeria;2002;4,3
Algeria;2003;3,0
Algeria;2004;9,8
Algeria;2005;4,2
Algeria;2006;3,2
Algeria;2007;15,3
Algeria;2008;11,6
Algeria;2009;2,3
Algeria;2010;5,7
Algeria;2011;5,6
Algeria;2012;8,5
Algeria;2013;8,5
Algeria;2014;5,3
Algeria;2015;13,5
Algeria;2016;10,7
Algeria;2017;6,4
Andorra;1999;2,3
Andorra;2000;0,0
Andorra;2001;2,0
Andorra;2002;2,1
Andorra;2003;0,0
Andorra;2004;3,0
Andorra;2005;7,0
Andorra;2006;0,0
Andorra;2007;2,0
Andorra;2008;5,3
Andorra;2009;5,0
Andorra;2010;2,5
Andorra;2011;5,1
Andorra;2012;2,8
Andorra;2013;1,0
Andorra;2014;3,1
Andorra;2015;5,7
Andorra;2016;7,3
Andorra;2017;6,5
Argentina;1999;23,1
Argentina;2000;39,5
Argentina;2001;30,9
Argentina;2002;35,0
Argentina;2003;42,9
Argentina;2004;42,9
Argentina;2005;58,8
Argentina;2006;52,6
Argentina;2007;85,9
Argentina;2008;43,3
Argentina;2009;46,1
Argentina;2010;60,2
Argentina;2011;54,0
Argentina;2012;55,1
Argentina;2013;45,8
Argentina;2014;62,1
Argentina;2015;78,7
Argentina;2016;70,8
Argentina;2017;49,7
Armenia;1999;2,2
Armenia;2000;11,8
Armenia;2001;9,6
Armenia;2002;6,6
Armenia;2003;2,9
Armenia;2004;3,9
Armenia;2005;8,5
Armenia;2006;7,1
Armenia;2007;6,5
Armenia;2008;3,3
Armenia;2009;6,2
Armenia;2010;4,9
Armenia;2011;16,8
Armenia;2012;7,7
Armenia;2013;8,3
Armenia;2014;7,3
Armenia;2015;8,0
Armenia;2016;11,0
Armenia;2017;11,1
Australia;1999;1.569,7
Australia;2000;1.754,7
Australia;2001;1.755,1
Australia;2002;1.771,9
Australia;2003;1.899,4
Australia;2004;2.043,4
Australia;2005;2.089,7
Australia;2006;2.059,4
Australia;2007;2.018,1
Australia;2008;1.840,4
Australia;2009;1.852,9
Australia;2010;1.744,3
Australia;2011;1.789,3
Australia;2012;1.737,8
Australia;2013;1.798,5
Australia;2014;1.837,6
Australia;2015;1.897,7
Australia;2016;1.933,9
Australia;2017;1.828,3
Austria;1999;625,9
Austria;2000;775,0
Austria;2001;714,6
Austria;2002;865,2
Austria;2003;946,4
Austria;2004;1.080,5
Austria;2005;1.169,2
Austria;2006;1.311,6
Austria;2007;1.325,1
Austria;2008;1.189,4
Austria;2009;1.280,7
Austria;2010;1.411,8
Austria;2011;1.445,6
Austria;2012;1.406,6
Austria;2013;1.484,7
Austria;2014;1.510,7
Austria;2015;1.539,4
Austria;2016;1.543,1
Austria;2017;1.563,8
Belarus;1999;14,6
Belarus;2000;22,0
Belarus;2001;18,5
Belarus;2002;10,4
Belarus;2003;25,5
Belarus;2004;22,8
Belarus;2005;27,9
Belarus;2006;9,2
Belarus;2007;13,0
Belarus;2008;23,4
Belarus;2009;18,6
Belarus;2010;16,6
Belarus;2011;15,6
Belarus;2012;12,0
Belarus;2013;25,2
Belarus;2014;18,6
Belarus;2015;14,3
Belarus;2016;29,7
Belarus;2017;25,2
Belgium;1999;794,0
Belgium;2000;807,6
Belgium;2001;778,8
Belgium;2002;804,1
Belgium;2003;837,8
Belgium;2004;976,1
Belgium;2005;1.019,2
Belgium;2006;1.100,5
Belgium;2007;1.160,1
Belgium;2008;1.094,3
Belgium;2009;1.144,0
Belgium;2010;1.255,7
Belgium;2011;1.264,6
Belgium;2012;1.205,0
Belgium;2013;1.240,4
Belgium;2014;1.232,8
Belgium;2015;1.226,1
Belgium;2016;1.356,5
Belgium;2017;1.214,3
Bermuda;1999;1,0
Bermuda;2000;7,2
Bermuda;2001;5,3
Bermuda;2002;1,0
Bermuda;2003;2,0
Bermuda;2004;2,1
Bermuda;2005;3,3
Bermuda;2006;1,3
Bermuda;2007;0,3
Bermuda;2008;3,1
Bermuda;2009;2,3
Bermuda;2010;0,0
Bermuda;2011;1,0
Bermuda;2012;2,0
Bermuda;2013;1,0
Bermuda;2014;2,0
Bermuda;2015;1,5
Bermuda;2016;1,1
Bermuda;2017;0,5
Bosnia and Herzegovina;1999;2,0
Bosnia and Herzegovina;2000;6,0
Bosnia and Herzegovina;2001;3,4
Bosnia and Herzegovina;2002;9,0
Bosnia and Herzegovina;2003;3,3
Bosnia and Herzegovina;2004;7,0
Bosnia and Herzegovina;2005;8,2
Bosnia and Herzegovina;2006;14,5
Bosnia and Herzegovina;2007;12,8
Bosnia and Herzegovina;2008;8,3
Bosnia and Herzegovina;2009;8,5
Bosnia and Herzegovina;2010;5,3
Bosnia and Herzegovina;2011;11,3
Bosnia and Herzegovina;2012;8,0
Bosnia and Herzegovina;2013;7,1
Bosnia and Herzegovina;2014;5,9
Bosnia and Herzegovina;2015;2,0
Bosnia and Herzegovina;2016;5,5
Bosnia and Herzegovina;2017;3,1
Brazil;1999;184,5
Brazil;2000;176,6
Brazil;2001;223,8
Brazil;2002;230,1
Brazil;2003;322,1
Brazil;2004;333,0
Brazil;2005;347,2
Brazil;2006;452,9
Brazil;2007;530,6
Brazil;2008;551,6
Brazil;2009;547,6
Brazil;2010;599,7
Brazil;2011;672,6
Brazil;2012;733,4
Brazil;2013;700,0
Brazil;2014;672,5
Brazil;2015;653,6
Brazil;2016;739,5
Brazil;2017;732,3
BRIC;1999;0,0
BRIC;2000;0,0
BRIC;2001;0,0
BRIC;2002;0,0
BRIC;2003;0,0
BRIC;2004;0,0
BRIC;2005;0,0
BRIC;2006;0,0
BRIC;2007;0,0
BRIC;2008;0,0
BRIC;2009;0,0
BRIC;2010;0,0
BRIC;2011;0,0
BRIC;2012;0,0
BRIC;2013;0,0
BRIC;2014;0,0
BRIC;2015;0,0
BRIC;2016;0,0
BRIC;2017;0,0
Bulgaria;1999;31,1
Bulgaria;2000;23,9
Bulgaria;2001;28,1
Bulgaria;2002;31,5
Bulgaria;2003;26,7
Bulgaria;2004;23,2
Bulgaria;2005;28,3
Bulgaria;2006;34,6
Bulgaria;2007;29,3
Bulgaria;2008;28,8
Bulgaria;2009;26,9
Bulgaria;2010;29,5
Bulgaria;2011;45,5
Bulgaria;2012;57,2
Bulgaria;2013;46,1
Bulgaria;2014;63,1
Bulgaria;2015;56,8
Bulgaria;2016;47,5
Bulgaria;2017;53,5
Canada;1999;1.866,0
Canada;2000;2.247,1
Canada;2001;2.331,3
Canada;2002;2.367,9
Canada;2003;2.327,5
Canada;2004;2.493,4
Canada;2005;2.808,1
Canada;2006;2.995,4
Canada;2007;3.038,7
Canada;2008;2.614,8
Canada;2009;2.693,2
Canada;2010;2.926,4
Canada;2011;2.941,3
Canada;2012;3.108,8
Canada;2013;3.236,0
Canada;2014;3.073,9
Canada;2015;3.031,9
Canada;2016;3.085,6
