Country;Year;Value
Australia;1999;109,7
Australia;2000;136,6
Australia;2001;146,3
Australia;2002;169,5
Australia;2003;171,6
Australia;2004;213,2
Australia;2005;200,9
Australia;2006;200,4
Australia;2007;217,5
Australia;2008;222,8
Australia;2009;234,0
Australia;2010;238,7
Australia;2011;221,0
Australia;2012;201,2
Australia;2013;202,1
Australia;2014;177,4
Australia;2015;186,0
Australia;2016;177,9
Australia;2017;107,0
Australia;2018;
Australia;2019;
Austria;1999;63,9
Austria;2000;90,8
Austria;2001;60,9
Austria;2002;61,6
Austria;2003;69,4
Austria;2004;83,9
Austria;2005;99,2
Austria;2006;112,9
Austria;2007;139,5
Austria;2008;145,0
Austria;2009;168,5
Austria;2010;211,5
Austria;2011;206,9
Austria;2012;203,0
Austria;2013;141,5
Austria;2014;160,6
Austria;2015;166,2
Austria;2016;147,1
Austria;2017;89,2
Austria;2018;
Austria;2019;
Belgium;1999;44,0
Belgium;2000;53,9
Belgium;2001;74,9
Belgium;2002;56,5
Belgium;2003;48,7
Belgium;2004;72,9
Belgium;2005;47,2
Belgium;2006;74,3
Belgium;2007;97,1
Belgium;2008;116,2
Belgium;2009;128,8
Belgium;2010;140,7
Belgium;2011;125,1
Belgium;2012;124,2
Belgium;2013;119,9
Belgium;2014;127,9
Belgium;2015;109,8
Belgium;2016;137,1
Belgium;2017;69,5
Belgium;2018;
Belgium;2019;
Canada;1999;143,8
Canada;2000;164,2
Canada;2001;170,9
Canada;2002;184,3
Canada;2003;188,5
Canada;2004;215,4
Canada;2005;242,4
Canada;2006;284,6
Canada;2007;283,8
Canada;2008;264,5
Canada;2009;294,5
Canada;2010;354,4
Canada;2011;365,3
Canada;2012;335,4
Canada;2013;311,4
Canada;2014;323,0
Canada;2015;280,9
Canada;2016;262,6
Canada;2017;169,8
Canada;2018;
Canada;2019;
Chile;1999;0,0
Chile;2000;0,0
Chile;2001;1,0
Chile;2002;1,5
Chile;2003;1,9
Chile;2004;2,2
Chile;2005;0,6
Chile;2006;4,0
Chile;2007;4,8
Chile;2008;8,9
Chile;2009;11,9
Chile;2010;17,8
Chile;2011;28,5
Chile;2012;22,9
Chile;2013;34,7
Chile;2014;26,8
Chile;2015;30,4
Chile;2016;27,7
Chile;2017;14,0
Chile;2018;
Chile;2019;
Colombia;1999;0,2
Colombia;2000;3,5
Colombia;2001;1,0
Colombia;2002;3,0
Colombia;2003;3,3
Colombia;2004;4,0
Colombia;2005;3,0
Colombia;2006;5,0
Colombia;2007;3,1
Colombia;2008;6,5
Colombia;2009;10,4
Colombia;2010;7,5
Colombia;2011;12,6
Colombia;2012;10,4
Colombia;2013;13,3
Colombia;2014;8,7
Colombia;2015;8,7
Colombia;2016;16,5
Colombia;2017;17,8
Colombia;2018;
Colombia;2019;
Czech Republic;1999;9,5
