Country;Year;Value
Australia;1999;22,3
Australia;2000;141,5
Australia;2001;138,2
Australia;2002;163,4
Australia;2003;152,8
Australia;2004;218,6
Australia;2005;149,0
Australia;2006;141,9
Australia;2007;143,4
Australia;2008;160,2
Australia;2009;200,5
Australia;2010;198,1
Australia;2011;198,5
Australia;2012;171,2
Australia;2013;155,4
Australia;2014;147,1
Australia;2015;149,3
Australia;2016;123,9
Australia;2017;38,5
Australia;2018;
Australia;2019;
Austria;1999;16,0
Austria;2000;87,9
Austria;2001;69,9
Austria;2002;70,8
Austria;2003;62,6
Austria;2004;70,1
Austria;2005;90,0
Austria;2006;76,7
Austria;2007;95,6
Austria;2008;108,0
Austria;2009;136,0
Austria;2010;127,8
Austria;2011;148,2
Austria;2012;159,6
Austria;2013;115,8
Austria;2014;157,2
Austria;2015;145,2
Austria;2016;89,5
Austria;2017;34,0
Austria;2018;
Austria;2019;
Belgium;1999;13,4
Belgium;2000;51,1
Belgium;2001;83,9
Belgium;2002;53,9
Belgium;2003;69,2
Belgium;2004;93,0
Belgium;2005;70,5
Belgium;2006;96,0
Belgium;2007;133,3
Belgium;2008;136,7
Belgium;2009;138,2
Belgium;2010;132,4
Belgium;2011;116,9
Belgium;2012;113,6
Belgium;2013;125,1
Belgium;2014;123,2
Belgium;2015;127,1
Belgium;2016;102,1
Belgium;2017;29,8
Belgium;2018;
Belgium;2019;
Canada;1999;88,9
Canada;2000;221,0
Canada;2001;384,9
Canada;2002;437,2
Canada;2003;479,5
Canada;2004;504,6
Canada;2005;514,6
Canada;2006;563,7
Canada;2007;565,0
Canada;2008;478,9
Canada;2009;595,7
Canada;2010;656,7
Canada;2011;675,9
Canada;2012;635,5
Canada;2013;655,2
Canada;2014;555,5
Canada;2015;561,1
Canada;2016;484,6
Canada;2017;293,5
Canada;2018;
Canada;2019;
Chile;1999;0,0
Chile;2000;2,5
Chile;2001;5,8
Chile;2002;3,5
Chile;2003;4,3
Chile;2004;7,4
Chile;2005;11,6
Chile;2006;19,5
Chile;2007;11,3
Chile;2008;9,4
Chile;2009;19,0
Chile;2010;17,2
Chile;2011;16,8
Chile;2012;13,3
Chile;2013;23,9
Chile;2014;14,3
Chile;2015;19,6
Chile;2016;10,3
Chile;2017;2,0
Chile;2018;
Chile;2019;
Colombia;1999;0,0
Colombia;2000;3,0
Colombia;2001;0,0
Colombia;2002;0,0
Colombia;2003;1,3
Colombia;2004;0,3
Colombia;2005;1,4
Colombia;2006;7,3
Colombia;2007;2,7
Colombia;2008;7,7
Colombia;2009;5,0
Colombia;2010;4,8
Colombia;2011;2,7
Colombia;2012;4,8
Colombia;2013;4,5
Colombia;2014;3,8
Colombia;2015;3,3
Colombia;2016;4,5
Colombia;2017;5,6
