Country;Year;Value
Australia;1999;1.415,3
Australia;2000;1.960,9
Australia;2001;2.185,5
Australia;2002;2.232,0
Australia;2003;2.380,1
Australia;2004;2.620,0
Australia;2005;2.548,3
Australia;2006;2.407,8
Australia;2007;2.434,9
Australia;2008;2.538,9
Australia;2009;2.289,1
Australia;2010;2.457,9
Australia;2011;1.968,5
Australia;2012;2.049,1
Australia;2013;2.123,5
Australia;2014;1.995,0
Australia;2015;2.003,3
Australia;2016;1.808,2
Australia;2017;997,8
Australia;2018;
Australia;2019;
Austria;1999;236,7
Austria;2000;880,9
Austria;2001;987,0
Austria;2002;1.005,6
Austria;2003;1.069,8
Austria;2004;1.076,4
Austria;2005;1.127,9
Austria;2006;1.238,8
Austria;2007;1.267,1
Austria;2008;1.250,9
Austria;2009;1.289,8
Austria;2010;1.327,5
Austria;2011;1.378,5
Austria;2012;1.536,7
Austria;2013;1.672,0
Austria;2014;1.700,0
Austria;2015;1.652,9
Austria;2016;1.503,0
Austria;2017;851,7
Austria;2018;
Austria;2019;
Belgium;1999;338,9
Belgium;2000;1.022,6
Belgium;2001;1.126,6
Belgium;2002;1.240,9
Belgium;2003;1.240,9
Belgium;2004;1.486,6
Belgium;2005;1.447,3
Belgium;2006;1.343,6
Belgium;2007;1.395,9
Belgium;2008;1.421,0
Belgium;2009;1.353,9
Belgium;2010;1.460,8
Belgium;2011;1.434,8
Belgium;2012;1.467,7
Belgium;2013;1.562,1
Belgium;2014;1.451,7
Belgium;2015;1.476,3
Belgium;2016;1.340,4
Belgium;2017;688,1
Belgium;2018;
Belgium;2019;
Canada;1999;1.225,8
Canada;2000;3.615,1
Canada;2001;6.421,7
Canada;2002;6.736,4
Canada;2003;6.947,7
Canada;2004;7.324,2
Canada;2005;7.888,1
Canada;2006;8.049,9
Canada;2007;8.157,6
Canada;2008;7.380,7
Canada;2009;7.364,8
Canada;2010;7.903,7
Canada;2011;8.137,5
Canada;2012;8.676,0
Canada;2013;8.570,6
